Data.Fat.Total Lipid,Data.Fat.Saturated Fat,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Cholesterol,Cluster,PCA1,PCA2,Cluster_PCA,Category
0.64,0.041,0.088,0.389,0,0,-0.9745111981676675,-0.2606951610597403,1,BASIL
1.12,0.06,0.802,0.095,0,0,-0.9300317628629462,-0.25303050334609295,1,DILL WEED
4.01,0.248,2.627,0.954,0,0,-0.6118187087783231,-0.3005014372389721,1,MUSTARD
0.0,0.0,0.0,0.0,0,0,-1.0390827248997399,-0.24377156118720258,1,SALT
0.0,0.0,0.0,0.0,0,0,-1.0390827248997399,-0.24377156118720258,1,VINEGAR
1.68,0.467,0.081,0.532,0,0,-0.8977002559174678,-0.25988266658546716,1,THYME
0.06,0.01,0.01,0.004,0,0,-1.035247426920159,-0.24389063148255635,1,No Category
0.0,0.0,0.0,0.0,0,0,-1.0390827248997399,-0.24377156118720258,1,VANILLA EXTRACT
0.0,0.0,0.0,0.0,0,0,-1.0390827248997399,-0.24377156118720258,1,VANILLA EXTRACT
0.0,0.0,0.0,0.0,0,0,-1.0390827248997399,-0.24377156118720258,1,VINEGAR
0.86,0.233,0.063,0.304,0,0,-0.9628761860850396,-0.2535927667522783,1,CAPERS
0.69,0.09,0.13,0.339,0,0,-0.9706817048295748,-0.25798322933726464,1,HORSERADISH
5.86,2.838,1.16,0.901,0,0,-0.4823518755936275,-0.2420618323838999,1,ROSEMARY
0.94,0.246,0.033,0.508,0,0,-0.9440180515915249,-0.2618135634956685,1,PEPPERMINT
0.73,0.191,0.025,0.394,0,0,-0.9653473388346233,-0.2577585168471608,1,SPEARMINT
6.03,1.577,0.21,3.257,0,0,-0.42959653926544067,-0.3594453110995555,1,SPEARMINT
0.0,0.0,0.0,0.0,0,0,-1.0390827248997399,-0.24377156118720258,1,VINEGAR
0.0,0.0,0.0,0.0,0,0,-1.0390827248997399,-0.24377156118720258,1,VINEGAR
0.0,0.0,0.0,0.0,0,0,-1.0390827248997399,-0.24377156118720258,1,CAMPBELL SOUP CO
2.52,1.18,0.95,0.16,51,0,-0.7557137267655789,0.17483851053969904,1,BABYFOOD
2.52,1.18,0.95,0.16,51,0,-0.7557137267655789,0.17483851053969904,1,BABYFOOD
2.45,1.063,1.054,0.157,33,0,-0.770672659396699,0.02680827487829302,1,BABYFOOD
7.1,2.4,3.58,0.78,48,0,-0.27305362152312446,0.12576796893620718,1,BABYFOOD
3.8,1.267,1.803,0.51,24,0,-0.6316588018194299,-0.06316300914285487,1,BABYFOOD
3.8,1.271,1.804,0.516,29,0,-0.62751754172299,-0.022963465984302725,1,BABYFOOD
3.41,1.65,1.27,0.31,36,0,-0.66693074228373,0.053281829420145,1,BABYFOOD
5.2,2.56,2.06,0.22,38,0,-0.49233937188639565,0.08342705521605771,1,BABYFOOD
7.9,2.03,3.56,1.92,61,0,-0.16599938342097095,0.1749079148004465,1,BABYFOOD
9.6,2.47,4.33,2.33,59,0,0.012154516903812624,0.1430110565127784,1,BABYFOOD
14.4,4.094,6.267,2.986,78,0,0.4974444954481874,0.28179536830301855,2,BABYFOOD
6.2,1.641,2.384,1.741,58,0,-0.35358279012463695,0.1602051541882473,1,BABYFOOD
6.2,1.641,2.384,1.741,58,0,-0.35358279012463695,0.1602051541882473,1,BABYFOOD
14.2,4.143,4.671,3.615,65,0,0.42381257200304673,0.1614056334214108,2,BABYFOOD
14.6,5.82,6.48,1.59,70,0,0.5123166238863088,0.30729449380034873,2,BABYFOOD
0.9,0.0,0.0,0.0,0,0,-1.0075666114124116,-0.2450188139598369,1,BABYFOOD
0.8,0.0,0.0,0.0,0,0,-1.0110684017998923,-0.2448802303184331,1,BABYFOOD
2.1,0.0,0.0,0.0,0,0,-0.9655451267626403,-0.24668181765668268,1,BABYFOOD
1.47,0.486,0.594,0.193,7,0,-0.8910656330855085,-0.191621582957741,1,BABYFOOD
1.1,0.411,0.447,0.079,4,0,-0.9313227206798949,-0.21111132272952846,1,BABYFOOD
2.2,0.96,0.57,0.48,7,0,-0.8108561528693858,-0.1953823052246512,1,BABYFOOD
2.26,0.937,0.941,0.141,8,0,-0.8117655246342765,-0.17589503911165877,1,BABYFOOD
2.6,1.53,0.7,0.17,7,0,-0.7753841938288945,-0.1727753273986584,1,BABYFOOD
2.9,0.0,0.0,0.0,0,0,-0.9375308036627928,-0.24779048678791318,1,BABYFOOD
1.37,0.543,0.497,0.185,5,0,-0.8996970626976757,-0.20561219795072186,1,BABYFOOD
1.0,0.0,0.0,0.0,0,0,-1.0040648210249306,-0.24515739760124072,1,BABYFOOD
1.2,0.58,0.44,0.1,13,0,-0.909216310127551,-0.13615001987969694,1,BABYFOOD
