Category;Description;Nutrient Data Bank Number;Data,Alpha Carotene;Data,Ash;Data,Beta Carotene;Data,Beta Cryptoxanthin;Data,Carbohydrate;Data,Cholesterol;Data,Choline;Data,Fiber;Data,Kilocalories;Data,Lutein and Zeaxanthin;Data,Lycopene;Data,Manganese;Data,Niacin;Data,Pantothenic Acid;Data,Protein;Data,Refuse Percentage;Data,Retinol;Data,Riboflavin;Data,Selenium;Data,Sugar Total;Data,Thiamin;Data,Water;Data,Fat,Monosaturated Fat;Data,Fat,Polysaturated Fat;Data,Fat,Saturated Fat;Data,Fat,Total Lipid;Data,Household Weights,1st Household Weight;Data,Household Weights,1st Household Weight Description;Data,Household Weights,2nd Household Weight;Data,Household Weights,2nd Household Weight Description;Data,Major Minerals,Calcium;Data,Major Minerals,Copper;Data,Major Minerals,Iron;Data,Major Minerals,Magnesium;Data,Major Minerals,Phosphorus;Data,Major Minerals,Potassium;Data,Major Minerals,Sodium;Data,Major Minerals,Zinc;Data,Vitamins,Vitamin A - IU;Data,Vitamins,Vitamin A - RAE;Data,Vitamins,Vitamin B12;Data,Vitamins,Vitamin B6;Data,Vitamins,Vitamin C;Data,Vitamins,Vitamin E;Data,Vitamins,Vitamin K
CHEESE;CHEESE,PAST PROCESS,AMERICAN,W/DI NA PO4;1042,00;0,00;0,27;82,00;0,00;0,05;94,00;36,00;0,00;375,00;0,00;0,00;0,01;0,07;0,33;0,93;0,00;247,00;0,25;0,59;0,51;0,03;1,64;8951,00;0,07;19694,00;1,31;5,83;1 cup, diced;244,00;1 cup, melted;552,00;0,02;0,01;27,00;513,00;169,00;1489,00;0,14;961,00;254,00;0,00;0,07;0,00;0,02;0,09
CHEESE;CHEESE,PAST PROCESS,PIMENTO;1043,00;12,00;0,27;151,00;0,00;0,09;94,00;36,00;0,10;375,00;20,00;0,00;0,02;0,08;0,34;0,93;0,00;235,00;0,25;0,59;0,63;0,03;1,63;8937,00;0,69;19663,00;1,29;5,83;1 cup, diced;244,00;1 cup, melted;614,00;0,03;0,03;22,00;744,00;162,00;1428,00;0,15;1045,00;248,00;0,00;0,07;0,09;0,02;0,09
CHEESE;CHEESE,PAST PROCESS,SWISS,W/DI NA PO4;1044,00;0,00;0,27;63,00;0,00;0,08;85,00;36,00;0,00;334,00;0,00;0,00;0,01;0,04;0,02;24,73;0,00;192,00;0,19;0,63;1230000019,00;0,01;1,77;7046,00;0,43;16045,00;1,04;5,83;1 cup, diced;113,00;1 cup, shredded;772,00;0,03;0,04;29,00;762,00;216,00;1370,00;0,17;746,00;198,00;0,06;0,04;0,00;0,02;0,08
CHEESE FD;CHEESE FD,COLD PK,AMERICAN;1045,00;0,00;0,20;0,00;0,00;0,36;64,00;0,00;0,00;331,00;0,00;0,00;0,00;0,07;0,68;0,84;0,00;148,00;0,31;0,67;0,00;0,00;1,80;7165,00;0,50;15355,00;1,03;1,19;1 oz;227,00;1 package,  (8 oz);497,00;0,00;0,06;30,00;400,00;363,00;966,00;0,13;705,00;159,00;0,06;0,10;0,00;0,00;0,00
CHEESE FD;CHEESE FD,PAST PROCESS,AMERICAN,WO/DI NA PO4;1046,00;0,00;0,23;65,00;0,00;0,35;80,00;36,00;0,00;330,00;0,00;0,00;0,07;0,01;0,68;0,75;0,00;196,00;0,36;0,67;7429999828,00;0,07;1,81;7214,00;1108,00;14895,00;1,05;4,71;1 cup;28,00;1 oz;570,00;0,09;0,04;31,00;439,00;291,00;1265,00;0,14;761,00;201,00;0,06;0,07;0,00;0,02;0,13
CHEESE FD;CHEESE FD,PAST PROCESS,SWISS;1047,00;0,00;0,26;0,00;0,00;0,17;82,00;0,00;0,00;323,00;0,00;0,00;0,00;0,07;0,00;0,94;0,00;233,00;0,00;0,67;0,00;0,01;43,67;6801,00;0,00;15487,00;1,01;1,19;1 oz;227,00;1 package,  (8 oz);723,00;0,00;0,00;28,00;526,00;284,00;1552,00;0,16;856,00;237,00;0,09;0,04;0,00;0,00;0,00
CHEESE SPRD;CHEESE SPRD,PAST PROCESS,AMERICAN,WO/DI NA PO4;1048,00;0,00;0,28;55,00;0,00;0,38;55,00;36,00;0,00;290,00;0,00;0,00;0,00;0,09;0,48;0,70;0,00;168,00;0,30;0,46;7320000172,00;0,05;47,65;6219,00;0,43;13327,00;0,89;5,83;1 cup, diced;244,00;1 cup;562,00;0,03;0,02;29,00;712,00;242,00;1345,00;0,12;653,00;173,00;0,00;0,08;0,00;0,01;0,05
CREAM;CREAM,FLUID,HALF AND HALF;1049,00;0,00;0,05;22,00;0,00;0,17;37,00;19,00;0,00;130,00;0,00;0,00;0,00;0,08;0,20;0,15;0,00;95,00;0,10;0,05;0,16;0,04;3,37;3321,00;0,30;7158,00;0,46;10,08;1 cup;15,00;1 tbsp;105,00;0,00;0,00;10,00;95,00;130,00;41,00;0,04;354,00;97,00;0,02;0,04;0,01;0,02;0,04
CREAM;CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM);1050,00;0,00;0,04;37,00;0,00;0,17;66,00;17,00;0,00;195,00;0,00;0,00;0,00;0,06;0,19;0,09;0,00;178,00;0,10;0,00;0,14;0,03;73,75;5577,00;0,50;0,50;0,81;10,00;1 cup;15,00;1 tbsp;96,00;0,01;0,00;9,00;80,00;122,00;40,00;0,02;656,00;181,00;0,02;0,03;0,01;0,04;0,05
CREAM;CREAM,FLUID,LT WHIPPING;1052,00;0,00;0,03;60,00;0,00;0,15;111,00;17,00;0,00;292,00;0,00;0,00;0,00;0,04;0,18;0,10;0,00;274,00;0,09;0,00;0,11;0,02;2,63;9093,00;0,61;19337,00;30,91;5,00;1 cup,  whipped;239,00;1 cup, fluid (yields 2 cups whipped);69,00;0,01;0,00;7,00;61,00;97,00;34,00;0,02;1013,00;279,00;0,00;0,03;0,00;0,06;0,09
CREAM;CREAM,FLUID,HVY WHIPPING;1053,00;0,00;0,03;72,00;0,00;0,14;137,00;17,00;0,00;345,00;0,00;0,00;0,00;0,04;0,18;0,09;0,00;405,00;0,01;0,00;0,11;0,02;57,71;10686,00;1374,00;23032,00;1,54;4,96;1 cup,  whipped;238,00;1 cup, fluid (yields 2 cups whipped);65,00;0,01;0,00;7,00;62,00;75,00;38,00;0,02;1470,00;411,00;0,01;0,03;0,00;0,05;0,13
